"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 12 17:00:56 CST 2022","Sat Mar 12 17:00:56 CST 2022","654","testcase","test_excel_case","TestExcel","","","4.0查看真接雇佣订单详情","<font color='red'>请求URL:</font>https://test-user-api.wanshifu.com/orders/normal/view<Br/><font color='red'>请求类型:</font>get<Br/><font color='red'>期望结果:</font><Br/><font color='red'>实际结果:</font>{'code': 200, 'body': {'status': 1, 'data': {'orderRelaInfoList': [], 'orderRepairPartsRelevance': [], 'operationList': {'viewOrder': 1, 'modifyOrder': 1, 'hire': 0, 'orderPay': 0, 'confirmPay': 0, 'rateSp': 0, 'cancelOrder': 1, 'deleteOrder': 0, 'republishOrder': 0, 'arriveStatus': 0, 'addSubOrder': 0, 'refundOrder': 0, 'subOrderPay': 0}, 'autoAppointRuleInfo': {}, 'base': {'orderId': 12183553439, 'globalOrderTraceId': 524071621700001, 'appointMethod': 'normal', 'category': '家具', 'categoryId': 1, 'serveType': '安装', 'serveTypeId': 4, 'payStatus': 'unpaid', 'thirdOrderNo': '', 'origin': '', 'orderLabel': '', 'subAccountName': 'andrewli', 'orderStatusEn': 'wait_offer', 'orderStatus': '等待师傅报价', 'serveNode': 'wait_offer', 'showServeImage': 0, 'orderNo': 'P5240716218', 'createTime': 1647075648000, 'spId': 4957775956, 'spType': 'master', 'spInfo': '', 'spTel': '', 'rateRewardCoin': 0, 'waitOfferTime': 86400, 'waitPayTime': 0, 'confirmPaidTime': 0, 'waitHireTime': 0, 'newOrderId': 0, 'oldOrderId': 0, 'canDefinitepriceToOpen': 0, 'isMaxOfferNum': False, 'refundOrderInfo': {'refundStatus': None, 'newRefundCNStatus': '', 'arbitrationStatus': ''}, 'refundStatus': '', 'cancelOrderInfo': {}, 'orderTrackStep': {'trackStepCN': ['指派师傅', '师傅报价', '托管服务费用', '师傅工作', '验收完成'], 'currentStep': 0}, 'refundId': None, 'customerArbitration': None}, 'insurance': {'carryInsurance': {}, 'liabilityInsurance': {}, 'accidentInsurance': 0}, 'customerInfo': {'buyerName': '万某某', 'buyerPhone': '15915468082', 'buyerWangwang': '', 'buyerAddress': '广东省深圳市宝安区新安街道某街道某某路某花园4273ff9579a943529aee9fddab4351c2', 'thirdDivisionId': 440306, 'lift': '', 'floor': 0, 'isShowClearance': 1, 'clearanceStatus': 'no_need', 'clearanceType': '', 'clearanceNo': '', 'isCancelClearance': 0, 'cancelClearanceTime': '', 'customArriveStatus': 1, 'customArriveSupplementTime': '', 'expectArriveTime': '', 'trackingId': '', 'logistics': '', 'trackingIsIdentified': 0}, 'logisticsInfo': {'expectArriveTime': '', 'isArrived': 0, 'logistics': '', 'trackingId': '', 'pickupAddress': '', 'addPickupAddressAccountType': '', 'pickupPhone': '', 'packageNum': 0, 'logisticsFee': 0, 'arriveTime': '2022-03-12 17:00:47', 'logisticsSupplementTime': '', 'trackingIsIdentified': 0, 'operateArrivedAccountType': '', 'operatePackageNumType': ''}, 'logisticsReturn': {}, 'orderGoods': [{'path': {'name': '商品图片', 'info': ['https://qncdn.wanshifu.com/da2f8aa240a208e7ef931d51fe2ccb8a', 'https://qncdn.wanshifu.com/9e1df71c40eeb8b60a2c02b612331880', 'https://qncdn.wanshifu.com/43a074721103d595b9d7ed05266b5a79']}, 'pathInstallEnvironment': {'name': '安装指引', 'info': []}, 'video': {'info': '--', 'name': '商品视频', 'videoType': '--'}, 'number': {'name': '商品数量', 'info': '1个'}, 'name': {'name': '商品型号/类别', 'categoryName': '柜类-床头柜', 'info': ''}, 'note': {'name': '特殊要求', 'info': '--'}}], 'otherInfo': {'expectCompleteTime': '', 'buyerNote': None, 'extraField': ''}, 'orderContact': {'contactName': '孙姐', 'contactPhone': '18806862021', 'contactNameDeputy': '', 'contactPhoneDeputy': ''}, 'doorInfo': {'afterServeTypeId': None, 'afterServeTypeCn': None, 'showMeasureImage': 0, 'needPublishRear': 0, 'measureOrderId': 0, 'relevanceOrderType': 'inner_normal', 'rearOrderId': 0, 'remindTime': None, 'categoryId': 1}, 'rateAwardStatus': '', 'rateAwardOrder': 0, 'qualityGuaranteeInfo': {'status': 'wait_efficient', 'starTime': '', 'endTime': '1970-01-01', 'deadline': 60, 'content': 'B-家具测试服务质保期'}}, 'msg': ''}}"
"passed","Sat Mar 12 17:00:53 CST 2022","Sat Mar 12 17:00:54 CST 2022","931","testcase","test_excel_case","TestExcel","","","2.0发布师傅-家具安装订单","<font color='red'>请求URL:</font>https://test-user-site-api.wanshifu.com/order/publish/create<Br/><font color='red'>请求类型:</font>POST<Br/><font color='red'>期望结果:</font>orderId'<Br/><font color='red'>实际结果:</font>{'code': 200, 'body': {'code': 'success', 'data': {'orderId': 12183553437}, 'msg': '', 'status': '1'}}"
"broken","Tue Mar 15 18:26:23 CST 2022","Tue Mar 15 18:26:23 CST 2022","4","testcase","test_excel_case","TestExcel","","","test_run[case0]",""
"passed","Sat Mar 12 17:00:54 CST 2022","Sat Mar 12 17:00:56 CST 2022","1364","testcase","test_excel_case","TestExcel","","","3.0发布直接雇佣师傅-家具安装订单","<font color='red'>请求URL:</font>https://test-user-site-api.wanshifu.com/order/publish/create<Br/><font color='red'>请求类型:</font>POST<Br/><font color='red'>期望结果:</font>orderId'<Br/><font color='red'>实际结果:</font>{'code': 200, 'body': {'code': 'success', 'data': {'orderId': 12183553439}, 'msg': '', 'status': '1'}}"
